"state","N"
NA,NA
"Out",87.1939310806925
"Winter-DSP-2",16.2685714285714
"Fall-Enviro-2",0
"Fall-ESP-2",0
"Fall-Health-2",0
"Graduated",86.8478895324635
"Winter-ESP-2",30.15
"Winter-Enviro-2",26.0857142857143
"Winter-Health-2",265.525714285714
"Winter-Pure-2",255.97
"Winter-Enviro-3",0.5469
"Winter-Enviro-4",28.44351
"Winter-Health-4",203.08129
"Winter-Pure-4",161.863206
"Winter-Enviro-5",0.0672
"Winter-Enviro-6",1.802687168
"Fall-Health-3",0.2569
"Winter-Health-3",23.3909
"Winter-Pure-3",31.7335
"Fall-Health-4",0
"Winter-Health-5",1.51779264
"Winter-Pure-5",7.77077286
"Winter-Health-6",13.574253105
"Winter-Health-7",1.307911586016
"Winter-Health-8",1.1276858250504
"Winter-Health-9",0.51615570150144
"Fall-Pure-2",0
"Fall-Pure-3",0.3886
"Fall-Pure-6",0.4607481457
"Winter-Pure-6",17.9691776823
"Winter-Pure-7",0.68441356724
"Winter-Pure-8",1.3212514899675
"Winter-Health-1",29
"Winter-Pure-1",44.3333333333333
