"state","N"
"Out",81.716
"Winter-DSP-2",20.44
"Fall-Enviro-2",0
"Fall-ESP-2",0
"Fall-Health-2",0
"Graduated",94.0661
"Winter-ESP-2",38.19
"Winter-Enviro-2",26.56
"Winter-Health-2",201.95
"Winter-Pure-2",180.59
"Winter-Enviro-3",0.8192
"Winter-Enviro-4",21.627
"Winter-Health-4",181.749
"Winter-Pure-4",159.0472
"Winter-Enviro-6",1.976
"Fall-Health-3",0.3792
"Winter-Health-3",33.3632
"Winter-Pure-3",23.286
"Fall-Health-4",0
"Winter-Health-5",7.6636
"Winter-Pure-5",11.6518
"Winter-Health-6",14.175
"Winter-Health-7",1.1256
"Winter-Health-8",1.5488
"Winter-Health-9",0.99
"Fall-Pure-2",0
"Fall-Pure-3",0.2828
"Fall-Pure-6",0.4354
"Winter-Pure-6",16.9806
"Winter-Pure-7",0.558
"Winter-Pure-8",1.725
NA,NA
"Winter-Pure-1",48
"Winter-Health-1",35
