"state","N"
NA,NA
"Out",82.47106226
"Winter-DSP-2",20.44
"Fall-Enviro-2",0
"Fall-ESP-2",0
"Fall-Health-2",0
"Graduated",88.29967308
"Winter-ESP-2",32.16
"Winter-Enviro-2",26.56
"Winter-Health-2",244.52
"Winter-Pure-2",185.25
"Winter-Enviro-3",0.6584
"Winter-Enviro-4",24.04157
"Winter-Health-4",184.915031
"Winter-Pure-4",169.440712
"Winter-Enviro-5",0.8192
"Winter-Enviro-6",1.643652
"Fall-Health-3",0.3084
"Winter-Health-3",27.8984
"Winter-Pure-3",34.4175
"Fall-Health-4",0
"Winter-Health-5",11.11661824
"Winter-Pure-5",7.08050136
"Winter-Health-6",11.450187
"Winter-Health-7",1.07826852
"Winter-Health-8",1.37214
"Winter-Health-9",0.371448
"Fall-Pure-2",0
"Fall-Pure-3",0.4211
"Fall-Pure-6",0.4244437
"Winter-Pure-6",16.5533043
"Winter-Pure-7",0.7224116
"Winter-Pure-8",1.273545
"Winter-Pure-1",40
"Winter-Health-1",3
