"state","N"
NA,NA
"Out",74.480522353128
"Winter-DSP-2",8.76
"Fall-Enviro-2",0
"Fall-ESP-2",0
"Fall-Health-2",0
"Graduated",90.630095197488
"Winter-ESP-2",28.81
"Winter-Enviro-2",33.2
"Winter-Health-2",236.13
"Winter-Pure-2",179.6
"Winter-Enviro-3",0.0672
"Winter-Enviro-4",23.719568
"Winter-Health-4",215.464335
"Winter-Pure-4",171.885554
"Winter-Enviro-5",0.6584
"Winter-Enviro-6",1.82715932
"Fall-Health-3",0.0372
"Winter-Health-3",4.5552
"Winter-Pure-3",28.2495
"Fall-Health-4",0
"Winter-Health-5",9.29574688
"Winter-Pure-5",9.97699302
"Winter-Health-6",11.649646953
"Winter-Health-7",1.564108186368
"Winter-Health-8",1.1083781016
"Winter-Health-9",0.3558286116
"Fall-Pure-2",0
"Fall-Pure-3",0.3483
"Fall-Pure-6",0.4517099111
"Winter-Pure-6",17.6166865329
"Winter-Pure-7",0.52091108432
"Winter-Pure-8",1.2414978225
"Winter-Health-1",29
"Winter-Pure-1",44.3333333333333
