student_number,ansession,program,term,semester,state,count
0083F67A8692EEE9A1D55038E42689F58185BAB3ACA9FB43CA89950CF98B38F6,20103,Health,1,Fall,Fall-Health-1,1
0083F67A8692EEE9A1D55038E42689F58185BAB3ACA9FB43CA89950CF98B38F6,20111,Health,2,Winter,Winter-Health-2,2
0083F67A8692EEE9A1D55038E42689F58185BAB3ACA9FB43CA89950CF98B38F6,20113,Health,3,Fall,Fall-Health-3,3
0083F67A8692EEE9A1D55038E42689F58185BAB3ACA9FB43CA89950CF98B38F6,20121,Health,4,Winter,Winter-Health-4,4
0083F67A8692EEE9A1D55038E42689F58185BAB3ACA9FB43CA89950CF98B38F6,20121,200B0,5,Winter,Graduated,5
00AACD8F15615795546500BDC77C047C274C2CBA80052EFC42ED59CBDE3E58F7,20131,Pure,1,Winter,Winter-Pure-1,1
00AACD8F15615795546500BDC77C047C274C2CBA80052EFC42ED59CBDE3E58F7,20133,Pure,2,Fall,Fall-Pure-2,2
00AACD8F15615795546500BDC77C047C274C2CBA80052EFC42ED59CBDE3E58F7,20141,Pure,3,Winter,Winter-Pure-3,3
00AACD8F15615795546500BDC77C047C274C2CBA80052EFC42ED59CBDE3E58F7,20141,200B0,4,Winter,Graduated,4
00C080C86A02B5E7CF62A7978268274CD57F57AE5E073BA6E19750553B70DEE6,20121,Pure,1,Winter,Winter-Pure-1,1
00C080C86A02B5E7CF62A7978268274CD57F57AE5E073BA6E19750553B70DEE6,20121,200B0,2,Winter,Graduated,2
00C14D1A2B6324A1DEED7059D3C5DD9C014D57A44249AAFE988BEAA4ADDB4A68,20133,Health,1,Fall,Fall-Health-1,1
00C14D1A2B6324A1DEED7059D3C5DD9C014D57A44249AAFE988BEAA4ADDB4A68,20141,Health,2,Winter,Winter-Health-2,2
00C14D1A2B6324A1DEED7059D3C5DD9C014D57A44249AAFE988BEAA4ADDB4A68,20141,Health,2,Winter,Out,3
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20103,Pure,1,Fall,Fall-Pure-1,1
