"state","N"
"Winter-DSP-2",12
"Winter-ESP-2",22
"Winter-Enviro-2",25
"Winter-Enviro-4",26
"Winter-Enviro-6",3
"Winter-Health-1",44
"Winter-Health-2",211
"Winter-Health-3",23
"Winter-Health-4",225
"Winter-Health-5",8
"Winter-Health-6",16
"Winter-Health-7",3
"Winter-Pure-1",32
"Winter-Pure-2",180
"Winter-Pure-3",41
"Winter-Pure-4",161
"Winter-Pure-5",9
"Winter-Pure-6",23
"Winter-Pure-7",1
"Winter-Pure-8",1
